年度,學號,
106,04122348,"A,R,E"
106,04122349,"A,S"
106,04122350,"A,R"
106,04122351,"A,E,I,R"
106,04122352,"E,I,S"
106,04122354,"A,E"
106,04122357,"S,A,E"
106,04122358,"C,A"
106,04122359,"I,S,R"
106,04122372,"R,C,I"
106,04122373,"R,I,S"
106,04122374,A
106,04122376,"C,R"
106,04122701,"C,I"
106,04123008,"C,E,S"
106,04123015,"C,A,I"
106,04123021,"E,A,C"
106,04123022,"S,C,R"
106,04123032,"A,E,C"
106,04123040,"I,C,R,S"
106,04123041,"C,A"
106,04123043,"E,C,A"
106,04123048,"C,E"
106,04123052,"C,I,A,S"
106,04123053,"A,E"
106,04123071,A
106,04123072,"S,C"
106,04131002,"I,R,S"
106,04131004,"E,I,R"
106,04131005,"C,E"
106,04131006,"C,R,E"
106,04131008,"C,I,R"
106,04131010,"A,R"
106,04131011,"R,A,S"
106,04131012,"C,A,R"
106,04131013,"C,R,A"
106,04131016,C
106,04131021,"C,S,I"
106,04131023,"C,S,A,I"
106,04131025,"C,I,R"
106,04131027,"I,R,E"
106,04131030,"I,R,A"
106,04131031,"C,I,A"
106,04131032,"S,I"
106,04131034,"E,C,I,R"
106,04131036,"A,S"
106,04131037,"R,I,C"
106,04131039,"R,A"
106,04131041,"I,A,S"
106,04131042,"I,A,C"
106,04131043,"I,R"
106,04131045,"C,R,I"
106,04131046,"I,A,C,S"
106,04131048,"R,I"
106,04131049,"C,R,E"
106,04131050,"I,R,A"
106,04131052,"I,S,E"
106,04131055,"C,S,I"
106,04131056,"C,R,S"
106,04131058,"S,C"
106,04131059,"I,A,R"
106,04132002,"I,R,A"
106,04132006,"E,I"
106,04132008,"I,S"
106,04132014,"R,C,I"
106,04132015,"A,R"
106,04132016,"R,S"
106,04132017,"R,I"
106,04132018,"E,I"
106,04132019,"I,R,A"
106,04132020,"S,R,C"
106,04132022,"R,A,I"
106,04132023,"R,C,I"
106,04132026,"I,E,R"
106,04132027,"C,I"
106,04132028,"R,C,S"
106,04132029,"I,C"
106,04132034,"R,A,I"
106,04132035,"I,S,R"
106,04132036,"R,E,I"
106,04132039,"A,I,R"
106,04132040,"I,R,C"
106,04132041,"I,S"
106,04132042,"R,C,I"
106,04132044,"I,C,R"
106,04132045,"I,A,R"
106,04132046,"I,S"
106,04132048,"I,A,R"
106,04132049,"A,S"
106,04132050,"R,C,I"
106,04132052,"I,C,R"
106,04132057,"R,E,C"
106,04132058,"A,R"
106,04132060,"I,R,S"
106,04132087,"E,I,S"
106,04132088,"I,R,E"
106,04132901,"R,I,A"
106,04133001,"I,S"
106,04133002,"E,A,R,S"
106,04133005,"I,S"
106,04133007,"S,I"
106,04133008,"A,E,I"
106,04133010,"R,C,I"
106,04133011,"I,R,A"
106,04133012,"S,A"
106,04133014,"A,E,I"
106,04133015,"I,R"
106,04133017,"I,C,A"
106,04133018,"I,C,R"
106,04133019,"C,E,I,R"
106,04133021,"A,I,S"
106,04133022,"E,I,R"
106,04133023,"I,C,E"
106,04133024,"S,A,R"
106,04133025,"C,I,R"
106,04133026,"S,A,C"
106,04133027,"I,A"
106,04133028,"S,E,I"
106,04133030,"A,C,E,R"
106,04133031,"I,R"
106,04133033,"I,S,C,E"
106,04133034,"I,C,E"
106,04133036,"E,A,C"
106,04133037,"I,R"
106,04133038,"C,I,R"
106,04133039,"I,C,R"
106,04133042,"I,S,C"
106,04133043,"C,E,S"
106,04133045,"I,S,C"
106,04133046,"R,I"
106,04133047,"A,I,C"
106,04133048,"I,C,E"
106,04133049,"I,C,E"
106,04133050,"C,S,I"
106,04133051,"I,C,R,S"
106,04133052,"C,R"
106,04133056,"C,R,I,S"
106,04133057,"I,R,A"
106,04133059,"I,C,E,R"
106,04133081,"A,R,I"
106,04133083,"I,R,E"
106,04133901,"A,I,R"
106,04134007,"C,A,I,R"
106,04134011,"I,E,S"
106,04134013,"C,I,R"
106,04134014,"S,C,I"
106,04134016,"I,A,S"
106,04134018,"S,A,C"
106,04134020,"C,S"
106,04134021,"I,E,R,S"
106,04134023,"C,S,I,R"
106,04134024,"I,S,R"
106,04134025,"I,E"
106,04134027,"A,C,I"
106,04134028,"S,R"
106,04134030,"A,C,I"
106,04134031,"I,R,S"
106,04134032,"I,A,R"
106,04134033,"C,S,I"
106,04134035,"I,C,R"
106,04134036,"E,C,I"
106,04134043,"I,R,C"
106,04134044,"I,C,R"
106,04134046,"I,C"
106,04134047,"I,C"
106,04134048,"I,R,S"
106,04134051,"C,R,I"
106,04134052,"R,I,C"
106,04134054,"C,E,I"
106,04134055,"I,A,S"
106,04134056,"I,C,S"
106,04134057,"I,S,A"
106,04134059,"I,A,R"
106,04134071,"A,C,R"
106,04134082,"I,R,C"
106,04134084,"I,C"
106,04135003,"E,S,R"
106,04135004,"E,I,S"
106,04135008,"A,E,S"
106,04135012,"E,A,S"
106,04135014,"S,C,I"
106,04135015,"A,I,R"
106,04135017,C
106,04135018,"S,I"
106,04135020,"I,S,E"
106,04135023,"E,C,I,R"
106,04135025,"S,A,C"
106,04135026,"S,A,C,R"
106,04135027,"C,A,S"
106,04135028,"C,S,R"
106,04135030,"S,C,E,I"
106,04135031,"S,A"
106,04135033,"C,E,R"
106,04135034,S
106,04135038,"S,A,C"
106,04135039,"A,I,S"
106,04135042,"S,A"
106,04135043,"A,S"
106,04135044,"I,C,R"
106,04135045,"A,C,E"
106,04135048,"S,E,A"
106,04135049,"C,E"
106,04135050,"S,C"
106,04135051,"C,E,I"
106,04135052,"A,R,S"
106,04135055,"A,E,I,S"
106,04135056,"S,C,I"
106,04135058,"S,I,E"
106,04135060,"E,C,A"
106,04135061,"A,R"
106,04135071,"E,A,S"
106,04135074,"S,I"
106,04135075,"S,I,A"
106,04135076,"S,I"
106,04135079,"S,A,R"
106,04135082,"S,I"
106,04135083,"E,S"
106,04135084,"S,A,C"
106,04135085,"C,A,S"
106,04135089,"C,E,I,S"
106,04135901,"A,I,R"
106,04141120,"C,E,I"
106,04141121,"C,I,R"
106,04141128,"A,C,E"
106,04141131,"R,I,C"
106,04141133,"I,C,S"
106,04141135,"S,E,R"
106,04141141,"E,R"
106,04141145,"E,A"
106,04141148,"I,S"
106,04141151,"E,R,S"
106,04141154,"S,E"
106,04141158,"E,C"
106,04141201,"C,I,S"
106,04141226,"S,I,E"
106,04141229,"I,R"
106,04141235,"S,C,R"
106,04141236,"C,R,A"
106,04141253,"C,E,A"
106,04141318,"C,R,A"
106,04141332,"A,I,S"
106,04141334,"C,A,R"
106,04141341,"C,A,R"
106,04141342,"E,I,A"
106,04141356,"C,I,R"
106,04141371,"I,R,S"
106,04141383,"S,C"
106,04141420,"R,C,I"
106,04141424,"E,S,A"
106,04141433,"S,C"
106,04141438,"A,S,E"
106,04141457,"S,I"
106,04141486,"I,A"
106,04151102,"A,C,E"
106,04151103,"C,E,I"
106,04151104,"A,E"
106,04151106,"C,R,I,S"
106,04151107,"S,C"
106,04151108,"I,E,C"
106,04151110,"C,R,S"
106,04151111,"E,A"
106,04151112,"I,A,C,R"
106,04151113,"E,S,C"
106,04151115,"C,I,R,S"
106,04151116,"E,C,S"
106,04151117,"C,S,E"
106,04151118,"C,I,R"
106,04151120,"E,C,S"
106,04151123,"C,R,S"
106,04151125,"A,E,I"
106,04151126,"C,S"
106,04151127,"A,E,C"
106,04151131,"C,I,R"
106,04151135,"C,S,E"
106,04151137,"C,I,R,S"
106,04151138,"C,R,I"
106,04151139,"C,I"
106,04151140,"C,R,I"
106,04151142,"R,C"
106,04151143,"R,E,S"
106,04151144,"C,E"
